dataset,num_eigs,seed,avg_fid@task0,avg_fid@task1,avg_fid@task2,avg_fid@task3,avg_fid@task4
cifar10,1,123,36.0726432800293,56.34645652770996,58.04183832804362,59.097063064575195,57.04584083557129
cifar10,1,234,40.23271560668945,51.45245361328125,57.73491668701172,57.07653045654297,55.49219741821289
cifar10,1,345,48.3986930847168,54.10769844055176,56.84428024291992,58.152177810668945,60.61829452514648
cifar10,2,123,36.0726432800293,49.5052604675293,51.76195398966471,52.17424011230469,55.340721130371094
cifar10,2,234,40.23271560668945,42.58340835571289,51.685010274251304,50.81807231903076,54.563717651367185
cifar10,2,345,48.3986930847168,52.72307586669922,54.95221710205078,57.51033020019531,62.623416900634766
cifar10,3,123,36.0726432800293,43.536184310913086,51.408461252848305,52.92180824279785,53.83702774047852
cifar10,3,234,40.23271560668945,52.4861946105957,55.69934336344401,65.8213005065918,71.05516319274902
cifar10,3,345,48.3986930847168,51.112600326538086,52.314133961995445,56.31078624725342,56.21628608703613
cifar10,4,123,36.0726432800293,47.91655731201172,51.65058263142904,53.62482452392578,49.787071228027344
cifar10,4,234,40.23271560668945,47.72775077819824,50.10250345865885,53.88601016998291,55.761312866210936
cifar10,4,345,48.3986930847168,56.988046646118164,58.94051615397135,58.49055099487305,61.56170806884766
cifar10,5,234,40.23271560668945,51.216407775878906,55.085182189941406,58.99154281616211,56.48775634765625
cifar10,5,345,48.3986930847168,53.19921684265137,58.3654899597168,59.570359230041504,58.91651039123535
cifar10,5,123,36.0726432800293,45.34547424316406,46.737841288248696,49.809515953063965,51.28815040588379
fmnist,1,123,17.118366241455078,13.955798149108887,14.145893096923828,14.483234167098999,21.081501770019532
fmnist,1,234,14.55163288116455,14.742701053619385,15.581673940022787,18.19905185699463,18.922618865966797
fmnist,1,345,14.32666015625,13.133374691009521,14.37152067820231,17.461501359939575,19.982028007507324
fmnist,2,123,17.118366241455078,22.174683094024658,17.682593027750652,17.503155946731567,17.777551651000977
fmnist,2,234,14.55163288116455,13.778636455535889,17.31962521870931,23.430789709091187,20.958665084838866
fmnist,2,345,14.32666015625,13.161022186279297,14.38415559132894,16.052136182785034,15.597850799560547
fmnist,3,123,17.118366241455078,14.131988525390625,13.932098706563314,14.350356101989746,17.16072807312012
fmnist,3,234,14.55163288116455,16.52916383743286,18.24741268157959,17.64401602745056,18.04134330749512
fmnist,3,345,14.32666015625,14.457375049591064,13.928943316141764,15.360533237457275,15.061675453186036
fmnist,4,123,17.118366241455078,17.99105978012085,15.791647593180338,16.395402669906616,17.002885818481445
fmnist,4,234,14.55163288116455,15.70161485671997,17.326956113179524,17.497759580612183,19.123681640625
fmnist,4,345,14.32666015625,12.363133907318115,14.958850542704264,15.02729344367981,14.88237018585205
fmnist,5,123,17.118366241455078,16.37120485305786,15.82485294342041,15.73589825630188,16.18883171081543
fmnist,5,234,14.55163288116455,14.547566413879395,14.37755298614502,15.829927921295166,19.50871353149414
fmnist,5,345,14.32666015625,13.540294170379639,14.351656913757324,14.512267827987671,15.512525939941407
