dataset,num_eigs,mean,stderr,n_seeds,mean_pm_se
cifar10,1,14.342938995361328,1.1631266766106034,3.0,14.343 ± 1.163
cifar10,2,15.9450065612793,1.8356222849631356,3.0,15.945 ± 1.836
cifar10,3,17.702566528320315,4.950558045772545,3.0,17.703 ± 4.951
cifar10,4,13.015318044026692,2.0279706902974612,3.0,13.015 ± 2.028
cifar10,5,12.636299641927081,1.559425831088269,3.0,12.636 ± 1.559
fmnist,1,5.72827091217041,0.3446817383378925,3.0,5.728 ± 0.345
fmnist,2,3.815881220499675,1.4034378975204491,3.0,3.816 ± 1.403
fmnist,3,2.8503074645996094,0.6341192072404769,3.0,2.850 ± 0.634
fmnist,4,2.9140900293986003,1.1992167702128054,3.0,2.914 ± 1.199
fmnist,5,2.8896108627319337,1.0226643635593415,3.0,2.890 ± 1.023
