dataset,num_eigs,mean,stderr,n_seeds,mean_pm_se
cifar10,1,57.71877759297689,1.5175474508812903,3,57.719 ± 1.518
cifar10,2,57.50928522745769,2.5668846669027174,3,57.509 ± 2.567
cifar10,3,60.369492340087895,5.386801424112915,3,60.369 ± 5.387
cifar10,4,55.70336405436198,3.399168365541626,3,55.703 ± 3.399
cifar10,5,55.56413904825846,2.2500200520097855,3,55.564 ± 2.250
fmnist,1,19.99538288116455,0.6232515845254856,3,19.995 ± 0.623
fmnist,2,18.111355845133463,1.5565079912340467,3,18.111 ± 1.557
fmnist,3,16.754582277933757,0.8838025676419282,3,16.755 ± 0.884
fmnist,4,17.002979214986166,1.2243611559556604,3,17.003 ± 1.224
fmnist,5,17.070023727416995,1.234875613751139,3,17.070 ± 1.235
