task_id,fid-task0,fid-task1,fid-task2,fid-task3,fid-task4,fid-task5,fid-task6,fid-task7,fid-task8,fid-task9
0,95.85121154785156,,,,,,,,,
1,149.3682098388672,103.27333068847656,,,,,,,,
2,149.93524169921875,126.00105285644531,109.2774429321289,,,,,,,
3,147.2415771484375,120.07394409179688,142.35205078125,93.79637145996094,,,,,,
4,124.94817352294922,119.06143951416016,131.15431213378906,131.05206298828125,108.89561462402344,,,,,
5,172.536376953125,138.0892791748047,152.5232696533203,126.86222076416016,143.259033203125,99.8110122680664,,,,
6,143.52879333496094,104.95917510986328,118.40201568603516,102.4011001586914,111.70801544189453,118.48521423339844,82.87804412841797,,,
7,193.95278930664062,143.1804656982422,136.0198974609375,117.83035278320312,141.28567504882812,131.20367431640625,116.20763397216797,100.34777069091797,,
8,154.34002685546875,131.560546875,131.76882934570312,128.98904418945312,128.04005432128906,131.77938842773438,121.65776824951172,125.6913070678711,116.90518188476562,
9,189.4235382080078,154.46994018554688,155.61875915527344,128.0192108154297,148.3790740966797,134.0880584716797,133.7124481201172,124.77565002441406,168.03860473632812,123.87751770019531
