task_id,fid-task0,fid-task1,fid-task2,fid-task3,fid-task4,fid-task5,fid-task6,fid-task7,fid-task8,fid-task9
0,96.4326400756836,,,,,,,,,
1,106.7762680053711,86.28532409667969,,,,,,,,
2,133.2099609375,143.30108642578125,79.18976593017578,,,,,,,
3,140.19000244140625,144.47109985351562,119.37026977539062,78.42793273925781,,,,,,
4,146.46609497070312,158.8162841796875,120.02655029296875,93.84758758544922,79.69624328613281,,,,,
5,130.99624633789062,152.97113037109375,126.98065948486328,109.4156723022461,97.67108917236328,70.49243927001953,,,,
6,168.07884216308594,181.92291259765625,122.93182373046875,103.02359771728516,117.11957550048828,101.68749237060547,82.33898162841797,,,
7,119.6330795288086,130.41502380371094,116.67572784423828,108.98049926757812,112.49909210205078,102.66204071044922,113.33055114746094,72.66279602050781,,
8,125.98861694335938,140.589599609375,112.1723861694336,101.26361846923828,97.60367584228516,100.37137603759766,103.11217498779297,103.4582290649414,76.19660949707031,
9,140.28282165527344,156.6956787109375,113.30960845947266,100.1585922241211,107.6751480102539,113.24498748779297,92.75773620605469,111.21175384521484,112.84337615966797,85.48396301269531
